usgs_id,shakemap_version,adm2_id,nombre,lon,lat,mmi_max,pop_mmi6p,pop_mmi7p,pop_mmi8p,pop_65p_mmi7p,bld_mmi7p,built_m2_mmi7p,health_mmi7p,edu_mmi7p,road_km_mmi7p,road_km_principal_mmi7p,ls_pop_expuesta_mmi6p,lq_pop_expuesta_mmi6p,flags_calidad
#meta+id+event,#meta+version,#adm2+code,#adm2+name,#geo+lon,#geo+lat,#indicator+mmi+max,#population+mmi6,#population+mmi7,#population+mmi8,#population+age65+mmi7,#infra+buildings+mmi7,#infra+built+area+mmi7,#infra+health+mmi7,#infra+education+mmi7,#infra+roads+km+mmi7,#infra+roads+km+primary+mmi7,#population+landslide+mmi6,#population+liquefaction+mmi6,#meta+flags
us20009mbt,1,GT1333,Petatán,-91.729225,15.619681,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0916,Zunil,-91.49612,14.745039,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1202,San Pedro Sacatepéquez,-91.760458,14.966512,6.0,69856.71024296992,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1407,Patzité,-91.196794,14.971608,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1215,Malacatán,-92.106201,14.919079,6.0,130784.82469239086,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1003,San Francisco Zapotitlán,-91.519526,14.617092,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,construido_no_mapeado
us20009mbt,1,GT1020,Río Bravo,-91.333129,14.378591,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0513,Nueva Concepción,-91.300692,14.122346,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,construido_no_mapeado
us20009mbt,1,GT1321,Tectitán,-92.03962,15.364456,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1226,Sipacapa,-91.657584,15.192955,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1315,Todos Santos Cuchumatán,-91.585011,15.572543,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1319,Colotenango,-91.711276,15.445163,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1402,Chiché,-91.04489,15.011277,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1015,Santa Bárbara,-91.246725,14.474427,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,"discrepancia_poblacional,construido_no_mapeado"
us20009mbt,1,GT1311,La Libertad,-91.911668,15.564721,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0808,San Bartolo,-91.460865,15.117052,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1230,La Blanca,-92.119786,14.553556,6.0,41313.258501784876,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0502,Santa Lucía Cotzumalguapa,-91.070876,14.287237,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1406,Chichicastenango,-91.092096,14.897134,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT0913,Almolonga,-91.484486,14.811737,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1004,San Bernardino,-91.454227,14.530275,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1012,San Gabriel,-91.514403,14.507696,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1002,Cuyotenango,-91.564101,14.488291,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1417,San Bartolomé Jocotenango,-91.033631,15.184521,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1017,Santo Tomás La Unión,-91.412101,14.623626,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0903,Olintepeque,-91.535981,14.893643,6.0,32103.5017852718,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1308,Soloma,-91.43172,15.700734,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1225,San Cristóbal Cucho,-91.76888,14.888563,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1019,Pueblo Nuevo,-91.527885,14.661147,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1018,Zunilito,-91.498645,14.631176,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT1006,Santo Domingo Suchitepéquez,-91.49307,14.296793,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us20009mbt,1,GT1305,Nentón,-91.67776,15.946031,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,"construido_no_mapeado,discrepancia_poblacional"
us20009mbt,1,GT0904,San Carlos Sija,-91.568946,15.077568,6.0,32664.774745346047,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us20009mbt,1,GT0905,Sibilia,-91.641288,14.989288,6.0,8673.440211451612,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
