usgs_id,shakemap_version,adm2_id,nombre,lon,lat,mmi_max,pop_mmi6p,pop_mmi7p,pop_mmi8p,pop_65p_mmi7p,pop_65p_mmi6p,bld_mmi6p,built_m2_mmi6p,health_mmi6p,edu_mmi6p,road_km_mmi6p,road_km_principal_mmi6p,bld_mmi7p,built_m2_mmi7p,health_mmi7p,edu_mmi7p,road_km_mmi7p,road_km_principal_mmi7p,ls_pop_expuesta_mmi6p,lq_pop_expuesta_mmi6p,flags_calidad
#meta+id+event,#meta+version,#adm2+code,#adm2+name,#geo+lon,#geo+lat,#indicator+mmi+max,#population+mmi6,#population+mmi7,#population+mmi8,#population+age65+mmi7,#population+age65+mmi6,#infra+buildings+mmi6,#infra+built+area+mmi6,#infra+health+mmi6,#infra+education+mmi6,#infra+roads+km+mmi6,#infra+roads+km+primary+mmi6,#infra+buildings+mmi7,#infra+built+area+mmi7,#infra+health+mmi7,#infra+education+mmi7,#infra+roads+km+mmi7,#infra+roads+km+primary+mmi7,#population+landslide+mmi6,#population+liquefaction+mmi6,#meta+flags
us6000t7zp,15,VE0101,Libertador,-66.994529,10.469713,7.5,1527938.7198412344,647680.2640636018,0.0,80779.16883768459,181028.18116277354,237147.0,37952966.0,468,679,1627.3540136023273,306.18910708650657,94124.0,15472256.0,313,363,694.2942661584751,152.14292446150031,0.0,0.0,"discrepancia_poblacional,construido_no_mapeado"
us6000t7zp,15,VE2401,Vargas,-66.899699,10.543838,8.0,386896.0229375926,381695.780111006,364616.89626370976,48935.92051093868,51894.42214634565,118572.0,13996643.0,75,100,1366.2514552299433,193.162842171324,104486.0,13210361.0,74,95,1091.985020860374,149.50581213888958,22998.93853528984,0.0,"discrepancia_poblacional,construido_no_mapeado,construido_no_mapeado,discrepancia_poblacional"
us6000t7zp,15,VE1519,Sucre,-66.766058,10.483277,7.5,741447.3074566617,352685.5942679441,0.0,24869.158448601465,68399.72549308738,93553.0,15445000.0,94,160,697.8471465837902,112.64526580210486,33437.0,5929770.0,58,112,277.70793954291156,79.62547061074616,0.0,0.0,"discrepancia_poblacional,construido_no_mapeado"
us6000t7zp,15,VE0811,Puerto Cabello,-68.029025,10.407886,8.0,206785.1380783487,206611.70656254236,159536.81103630597,17592.094108976005,17643.252348991587,59696.0,11369114.0,13,75,558.2482708919248,85.0974861478109,59309.0,11346650.0,13,74,544.7111089149928,75.98789239380434,5986.349278803915,33853.4909101869,"discrepancia_poblacional,construido_no_mapeado,construido_no_mapeado,discrepancia_poblacional"
us6000t7zp,15,VE1517,Plaza,-66.652083,10.475575,7.0,224697.9109050287,172919.1036837548,0.0,18101.47391266133,25074.624481931114,42029.0,6654240.0,16,46,320.0470246069525,63.934368108573885,29368.0,5014421.0,15,44,208.0055608316133,60.26863822344921,0.0,0.0,"discrepancia_poblacional,construido_no_mapeado,discrepancia_poblacional"
us6000t7zp,15,VE2211,San Felipe,-68.677931,10.40695,8.0,135247.57142168516,135247.57142168516,54298.01945427805,7260.653511346687,7265.856906353798,45044.0,5340949.0,10,15,469.04394333165936,60.40377880266852,44964.0,5340949.0,10,15,468.15682683999563,60.40377880266852,0.0,10954.225323855877,discrepancia_poblacional
us6000t7zp,15,VE2214,Veroes,-68.511948,10.435947,8.5,101400.31401313655,101400.31401313655,99819.60736168735,1361.5092412050517,1363.8403432017658,15088.0,1364073.0,0,3,373.60788318361114,97.61117620315166,14965.0,1364073.0,0,3,373.60788318361114,97.61117620315166,0.0,52314.38025977649,"discrepancia_poblacional,revisar_sin_edificios,construido_no_mapeado,discrepancia_poblacional"
us6000t7zp,15,VE1507,Chacao,-66.854749,10.515153,7.5,88052.44687300106,83019.88845830341,0.0,8871.052557400926,9182.714757252746,9215.0,2965241.0,88,51,127.98712835540884,35.06143414880609,8905.0,2783847.0,81,48,114.05681222430009,33.04329747205986,0.0,0.0,
us6000t7zp,15,VE0805,Juan José Mora,-68.266221,10.450777,8.5,58001.31473601004,58001.31473601004,57984.010930377524,6711.176137311178,6711.176137311178,31846.0,5126447.0,7,45,333.6244915355597,104.9816088096625,31846.0,5126447.0,7,45,333.6244915355597,104.9816088096625,0.0,22216.778010762297,"discrepancia_poblacional,construido_no_mapeado,construido_no_mapeado,discrepancia_poblacional"
us6000t7zp,15,VE1116,Palmasola,-68.563656,10.676822,7.5,31330.386597584,30577.811606292613,0.0,954.4256191156372,1025.2723091537287,4892.0,528066.0,0,1,98.89645633403748,0.0,4608.0,513114.0,0,1,97.34044349207703,0.0,0.0,11128.536062566098,"discrepancia_poblacional,construido_no_mapeado"
