usgs_id,shakemap_version,adm2_id,nombre,lon,lat,mmi_max,pop_mmi6p,pop_mmi7p,pop_mmi8p,pop_65p_mmi7p,pop_65p_mmi6p,bld_mmi6p,built_m2_mmi6p,health_mmi6p,edu_mmi6p,road_km_mmi6p,road_km_principal_mmi6p,bld_mmi7p,built_m2_mmi7p,health_mmi7p,edu_mmi7p,road_km_mmi7p,road_km_principal_mmi7p,ls_pop_expuesta_mmi6p,lq_pop_expuesta_mmi6p,flags_calidad
#meta+id+event,#meta+version,#adm2+code,#adm2+name,#geo+lon,#geo+lat,#indicator+mmi+max,#population+mmi6,#population+mmi7,#population+mmi8,#population+age65+mmi7,#population+age65+mmi6,#infra+buildings+mmi6,#infra+built+area+mmi6,#infra+health+mmi6,#infra+education+mmi6,#infra+roads+km+mmi6,#infra+roads+km+primary+mmi6,#infra+buildings+mmi7,#infra+built+area+mmi7,#infra+health+mmi7,#infra+education+mmi7,#infra+roads+km+mmi7,#infra+roads+km+primary+mmi7,#population+landslide+mmi6,#population+liquefaction+mmi6,#meta+flags
us6000tjl2,9,76001,SANTIAGO DE CALI,-76.576493,3.399044,7.0,2618910.4151239814,772110.1329042781,0.0,89470.79603016266,303466.0625739497,155168.0,47373421.0,1089,463,4490.778211316628,491.7246176187953,30095.0,14069679.0,486,76,994.7198727742475,162.42219666610546,0.0,623995.2540941313,"discrepancia_poblacional,construido_no_mapeado"
us6000tjl2,9,66001,PEREIRA,-75.712328,4.781267,7.5,509830.10106136184,500314.1681933543,0.0,64321.68224488955,65545.82701139366,80233.0,15790340.0,132,228,2124.6970602204133,247.8945583750701,73977.0,14846002.0,132,192,1898.073978800642,223.25603988024085,0.0,64362.085384691134,discrepancia_poblacional
us6000tjl2,9,76109,BUENAVENTURA,-77.085994,3.611794,7.0,446560.0140508609,413997.36102016456,0.0,47946.49550083387,51656.96362398148,52476.0,7871743.0,16,91,787.570861710463,104.91387146584248,45222.0,6878015.0,10,89,523.4059744307846,66.07872810330879,0.0,387432.56117438804,"discrepancia_poblacional,construido_no_mapeado"
us6000tjl2,9,63001,ARMENIA,-75.72483,4.499329,7.5,339900.03362934757,338048.82900427,0.0,47391.96043335912,47651.48571269748,75418.0,8267482.0,199,284,858.7801994971255,132.6310281558956,74278.0,8126929.0,199,271,841.1148096027096,127.86880386032236,0.0,2305.9178296998143,discrepancia_poblacional
us6000tjl2,9,66170,DOSQUEBRADAS,-75.669937,4.842021,7.5,181223.86692177504,180905.68603482842,0.0,23269.135129633796,23310.061392133844,20421.0,5417050.0,22,40,550.1154617132524,44.18564341530817,20187.0,5384233.0,22,40,543.6982085117197,44.18564341530817,0.0,46910.43890865147,discrepancia_poblacional
us6000tjl2,9,76147,CARTAGO,-75.917908,4.706847,7.5,129910.50064553693,129910.50064553693,0.0,15071.153989228364,15071.153989228364,20397.0,3955160.0,15,64,724.8851507415956,86.47150820205596,20397.0,3955160.0,15,64,724.8851507415956,86.47150820205596,0.0,74591.82871457934,discrepancia_poblacional
us6000tjl2,9,27001,QUIBDÓ,-76.663679,5.938956,7.0,112945.79262244329,111709.84636211488,0.0,7317.860071240675,7395.320150149084,37155.0,3897104.0,3,132,290.9556012765129,52.481088479271044,33869.0,3774880.0,3,95,240.6465732992986,23.65377634498758,0.0,109413.26421215944,"discrepancia_poblacional,construido_no_mapeado"
us6000tjl2,9,66682,SANTA ROSA DE CABAL,-75.549502,4.833789,7.0,73127.28536836524,68511.19666785747,0.0,8812.814358675454,9394.860842102766,26734.0,3050955.0,9,56,744.1180848628671,38.13907404791634,23514.0,2653081.0,9,37,490.0129099020603,38.13907404791634,0.0,0.0,discrepancia_poblacional
us6000tjl2,9,63401,LA TEBAIDA,-75.817357,4.435763,7.5,54278.832213515416,54278.832213515416,0.0,7606.168984959222,7606.168984959222,9735.0,1390539.0,6,11,253.33594584687722,24.93487573148398,9735.0,1390539.0,6,11,253.33594584687722,24.93487573148398,0.0,2113.072804613039,discrepancia_poblacional
